name	version	platform	archive_or_binary	sha256	download_url	source_repo	source_ref
Ghidra	12.1.3	all-java21	ghidra_12.1.3_PUBLIC_20260817.zip	93a5d11a9ad510622acaaf908c556a7b9b764d338e78a7567f3689bf5081fd54	https://github.com/NationalSecurityAgency/ghidra/releases/download/Ghidra_12.1.3_build/ghidra_12.1.3_PUBLIC_20260817.zip	https://github.com/NationalSecurityAgency/ghidra.git	Ghidra_12.1.3_build
mkpsxiso	2.30	linux-x86_64	mkpsxiso-2.30-Linux.zip	8e387e6db51dee3eb7cb08f4d59293a24c48f58bd541631acf9301d78015a1fc	https://github.com/Lameguy64/mkpsxiso/releases/download/v2.30/mkpsxiso-2.30-Linux.zip	https://github.com/Lameguy64/mkpsxiso.git	v2.30
mkpsxiso	2.30	darwin	mkpsxiso-2.30-Darwin.zip	a64d4d57d78ce57cd810a6a044602ce3cf1b552ca7c7e8675518f554206e0b49	https://github.com/Lameguy64/mkpsxiso/releases/download/v2.30/mkpsxiso-2.30-Darwin.zip	https://github.com/Lameguy64/mkpsxiso.git	v2.30
jPSXdec	2.1-beta	all-java	jpsxdec_v2.1-beta.zip	e11787a2e05b6a4b6ee07972439e50da9e6798f0ca505e748f4969b3d91cd45b	https://github.com/m35/jpsxdec/releases/download/v2.1/jpsxdec_v2.1-beta.zip	https://github.com/m35/jpsxdec.git	v2.1
DuckStation	0.1-11826-gfe2306b1f	linux-x86_64	DuckStation-x64.AppImage	c5c8a9de4dfc10e794137dcb8bab9760ca578df2aa7be8c1215171bebbba5965	https://github.com/stenzek/duckstation/releases/download/latest/DuckStation-x64.AppImage	https://github.com/stenzek/duckstation.git	fe2306b1f0f7dd64cbc9aa8eb12269715ba799b5
PCSX-Redux	2a36099dc	linux-x86_64	PCSX-Redux-2a36099dc-anylinux-x86_64.AppImage	92e000c82813f7a0123d2268e04811515dba4b04169d1616bec62547b7eb7f0e	CACHE_OR_BUILD_FROM_SOURCE	https://github.com/grumpycoders/pcsx-redux.git	2a36099dc24c5a746854e3de8359c40e5af21c10
xdelta3	3.2.0	linux-x86_64	xdelta3-3.2.0-linux-x86_64.tar.gz	480295c7a41fea6503659f19ddc61676c0df4834e2292846ba97de30c68c2397	https://github.com/jmacd/xdelta/releases/download/v3.2.0/xdelta3-3.2.0-linux-x86_64.tar.gz	https://github.com/jmacd/xdelta.git	ff322e592383227b0d65ddfde7e0e5bbc504dc15
xdelta3	3.2.0	source	xdelta3-3.2.0.tar.gz	89c368ac627fd89b96a7ecb555d9dd63f455a8c524103c8117f64787a78e5709	https://github.com/jmacd/xdelta/releases/download/v3.2.0/xdelta3-3.2.0.tar.gz	https://github.com/jmacd/xdelta.git	v3.2.0
Continue-Retro-Thai-Game-FontKit	1.2.1	all-python	Continue_Retro_Thai_Game_FontKit_v1.2.1.zip	e580beaece7747bb538bcb02df3232294e0f9a17ecbb9216a141afb6c0544b79	USER_PROJECT_ASSET	tools/src/fontkit	1.2.1
FFmpeg	7.1.5	system-package	SYSTEM_PACKAGE	N/A	PACKAGE_MANAGER	https://github.com/FFmpeg/FFmpeg.git	runtime-tested-7.1.5
ImageMagick	7.1.2-1	system-package	SYSTEM_PACKAGE	N/A	PACKAGE_MANAGER	https://github.com/ImageMagick/ImageMagick.git	runtime-tested-7.1.2-1
PS1-MIPS-Clang	17.0.0	system-compiler	SYSTEM_PACKAGE	N/A	PACKAGE_MANAGER	https://github.com/llvm/llvm-project.git	runtime-tested-swift-llvm-17
